order_id,date,product,sku,region,quantity,price,returned,return_reason
100001,2026-02-07,Canvas Slip-On,CNV-006,North,1,1866.34,False,
100002,2026-07-02,Merino Wool Loafer,MWL-001,North,2,1546.67,True,Size issue
100003,2026-06-24,Hemp Espadrille,HMP-005,North,1,2573.03,False,
100004,2026-05-26,Cork Sandal,CRK-004,South,1,2713.15,True,Changed mind
100005,2026-04-29,Canvas Slip-On,CNV-006,West,1,1732.22,False,
100006,2026-02-24,Recycled PET Runner,RPR-003,North,2,1644.07,False,
100007,2026-02-12,Hemp Espadrille,HMP-005,East,2,2303.34,False,
100008,2026-06-22,Cork Sandal,CRK-004,North,1,2743.11,False,
100009,2026-07-31,Recycled PET Runner,RPR-003,South,1,1567.74,False,
100010,2026-04-01,Recycled PET Runner,RPR-003,North,1,2069.19,False,
100011,2026-05-06,Recycled PET Runner,RPR-003,South,1,1813.26,False,
100012,2026-07-06,Canvas Slip-On,CNV-006,North,1,2300.21,False,
100013,2026-04-11,Cork Sandal,CRK-004,West,1,2525.92,False,
100014,2026-02-09,Merino Wool Loafer,MWL-001,South,1,2100.75,False,
100015,2026-03-27,Hemp Espadrille,HMP-005,East,2,2092.45,False,
100016,2026-04-09,Cork Sandal,CRK-004,South,1,1868.94,False,
100017,2026-06-30,Recycled PET Runner,RPR-003,West,2,2041.99,False,
100018,2026-02-24,Bamboo Fiber Sneaker,BFS-002,West,1,2790.65,False,
100019,2026-07-03,Bamboo Fiber Sneaker,BFS-002,West,1,2076.15,False,
100020,2026-06-22,Cork Sandal,CRK-004,East,1,2519.43,False,
100021,2026-07-15,Hemp Espadrille,HMP-005,East,1,1666.33,False,
100022,2026-04-09,Cork Sandal,CRK-004,North,1,2260.52,False,
100023,2026-07-14,Canvas Slip-On,CNV-006,East,1,1728.26,False,
100024,2026-07-04,Hemp Espadrille,HMP-005,North,1,2231.91,False,
100025,2026-04-03,Recycled PET Runner,RPR-003,East,1,1860.31,False,
100026,2026-06-05,Merino Wool Loafer,MWL-001,North,1,2965.98,False,
100027,2026-07-19,Bamboo Fiber Sneaker,BFS-002,South,2,2919.27,False,
100028,2026-03-27,Hemp Espadrille,HMP-005,West,1,2568.42,False,
100029,2026-05-24,Canvas Slip-On,CNV-006,East,2,1680.51,False,
100030,2026-07-01,Recycled PET Runner,RPR-003,North,1,2381.66,True,Size issue
100031,2026-02-09,Bamboo Fiber Sneaker,BFS-002,North,1,1605.29,False,
100032,2026-03-27,Canvas Slip-On,CNV-006,West,1,2584.03,False,
100033,2026-04-04,Hemp Espadrille,HMP-005,West,2,2710.25,False,
100034,2026-05-02,Merino Wool Loafer,MWL-001,West,2,2115.65,False,
100035,2026-02-16,Merino Wool Loafer,MWL-001,North,2,2591.32,False,
100036,2026-03-22,Merino Wool Loafer,MWL-001,South,1,2303.43,False,
100037,2026-05-30,Bamboo Fiber Sneaker,BFS-002,East,1,2810.73,False,
100038,2026-02-13,Hemp Espadrille,HMP-005,North,1,2952.49,False,
100039,2026-05-16,Bamboo Fiber Sneaker,BFS-002,South,2,2221.04,False,
100040,2026-05-09,Merino Wool Loafer,MWL-001,South,1,2976.96,False,
100041,2026-05-20,Cork Sandal,CRK-004,East,2,1731.2,False,
100042,2026-04-22,Merino Wool Loafer,MWL-001,North,1,1574.21,False,
100043,2026-02-15,Hemp Espadrille,HMP-005,South,1,2776.01,False,
100044,2026-05-15,Merino Wool Loafer,MWL-001,South,1,2911.39,False,
100045,2026-07-09,Hemp Espadrille,HMP-005,North,1,2127.84,False,
100046,2026-04-08,Hemp Espadrille,HMP-005,East,1,2503.59,False,
100047,2026-03-06,Recycled PET Runner,RPR-003,West,1,2184.84,False,
100048,2026-05-29,Merino Wool Loafer,MWL-001,North,1,1608.89,False,
100049,2026-05-01,Recycled PET Runner,RPR-003,South,1,2817.91,False,
100050,2026-06-20,Bamboo Fiber Sneaker,BFS-002,West,1,2416.52,False,
100051,2026-07-21,Canvas Slip-On,CNV-006,North,1,2896.63,False,
100052,2026-03-02,Bamboo Fiber Sneaker,BFS-002,East,1,2612.63,False,
100053,2026-04-29,Recycled PET Runner,RPR-003,South,1,2530.25,False,
100054,2026-04-06,Hemp Espadrille,HMP-005,West,1,1637.45,False,
100055,2026-02-01,Recycled PET Runner,RPR-003,North,1,2655.68,False,
100056,2026-05-25,Recycled PET Runner,RPR-003,South,2,2340.36,False,
100057,2026-06-20,Canvas Slip-On,CNV-006,South,1,2750.89,False,
100058,2026-03-05,Bamboo Fiber Sneaker,BFS-002,West,1,1961.39,False,
100059,2026-03-26,Merino Wool Loafer,MWL-001,East,1,2499.4,False,
100060,2026-07-09,Hemp Espadrille,HMP-005,West,1,2887.65,False,
100061,2026-05-17,Bamboo Fiber Sneaker,BFS-002,South,1,1768.04,False,
100062,2026-04-10,Cork Sandal,CRK-004,South,1,2680.06,False,
100063,2026-03-29,Merino Wool Loafer,MWL-001,West,1,2723.88,False,
100064,2026-03-30,Recycled PET Runner,RPR-003,South,1,2489.05,False,
100065,2026-04-13,Recycled PET Runner,RPR-003,North,1,2461.22,False,
100066,2026-02-08,Hemp Espadrille,HMP-005,East,1,2814.56,False,
100067,2026-02-10,Hemp Espadrille,HMP-005,East,1,2393.86,False,
100068,2026-07-06,Recycled PET Runner,RPR-003,West,1,2076.79,False,
100069,2026-05-23,Recycled PET Runner,RPR-003,North,1,2278.88,False,
100070,2026-05-05,Canvas Slip-On,CNV-006,South,2,1603.96,False,
100071,2026-07-20,Recycled PET Runner,RPR-003,East,1,2578.63,False,
100072,2026-04-25,Recycled PET Runner,RPR-003,West,2,2544.81,False,
100073,2026-07-21,Bamboo Fiber Sneaker,BFS-002,West,2,2514.98,False,
100074,2026-05-15,Hemp Espadrille,HMP-005,East,1,1954.81,False,
100075,2026-05-31,Hemp Espadrille,HMP-005,East,2,2162.24,False,
100076,2026-07-19,Cork Sandal,CRK-004,South,1,1924.68,False,
100077,2026-02-24,Hemp Espadrille,HMP-005,East,1,2508.19,False,
100078,2026-02-07,Bamboo Fiber Sneaker,BFS-002,South,1,1866.26,False,
100079,2026-05-18,Merino Wool Loafer,MWL-001,West,1,2576.52,False,
100080,2026-03-10,Cork Sandal,CRK-004,South,1,2837.99,False,
100081,2026-03-29,Merino Wool Loafer,MWL-001,West,1,2705.16,False,
100082,2026-06-23,Cork Sandal,CRK-004,North,1,2875.21,False,
100083,2026-07-21,Bamboo Fiber Sneaker,BFS-002,West,1,2924.06,False,
100084,2026-06-21,Hemp Espadrille,HMP-005,West,2,2844.81,False,
100085,2026-04-08,Cork Sandal,CRK-004,West,1,2758.79,False,
100086,2026-07-11,Hemp Espadrille,HMP-005,West,1,1910.9,False,
100087,2026-04-11,Recycled PET Runner,RPR-003,South,1,1978.56,False,
100088,2026-04-01,Bamboo Fiber Sneaker,BFS-002,South,2,2539.92,False,
100089,2026-05-16,Merino Wool Loafer,MWL-001,West,1,2312.92,False,
100090,2026-05-11,Bamboo Fiber Sneaker,BFS-002,West,1,2784.1,False,
100091,2026-02-02,Cork Sandal,CRK-004,West,1,1946.92,False,
100092,2026-06-05,Cork Sandal,CRK-004,South,1,1908.4,False,
100093,2026-07-22,Cork Sandal,CRK-004,East,2,2585.27,False,
100094,2026-05-12,Bamboo Fiber Sneaker,BFS-002,North,1,1624.92,False,
100095,2026-02-13,Cork Sandal,CRK-004,South,1,2067.66,False,
100096,2026-05-09,Recycled PET Runner,RPR-003,East,1,2627.01,False,
100097,2026-06-01,Recycled PET Runner,RPR-003,North,1,2622.54,True,Quality issue
100098,2026-07-17,Bamboo Fiber Sneaker,BFS-002,North,1,2630.35,False,
100099,2026-07-10,Bamboo Fiber Sneaker,BFS-002,North,1,1856.82,False,
100100,2026-05-31,Merino Wool Loafer,MWL-001,South,1,2649.35,False,
100101,2026-03-14,Hemp Espadrille,HMP-005,North,1,1661.15,True,Quality issue
100102,2026-05-13,Hemp Espadrille,HMP-005,West,1,1612.99,False,
100103,2026-02-27,Canvas Slip-On,CNV-006,South,1,2774.44,False,
100104,2026-04-30,Merino Wool Loafer,MWL-001,North,2,2491.28,False,
100105,2026-02-04,Canvas Slip-On,CNV-006,East,2,2732.5,False,
